user_id,age,gender,bmi,active_hours,workout_hours,workout_type,calories_burnt
1,20.0,Female,30.36866920459817,5.254337677812899,1.2198842778049035,Mixed,1573.0973153882524
2,46.0,Male,31.475678460255878,5.584940609055381,3.308828737242013,Strength,2035.0165929564996
3,32.0,Male,21.5544781423026,10.561181286835513,0.0,None,1771.6629101065773
4,56.0,Male,27.44345407384157,10.03846607601049,1.5938718329749586,Cardio,2097.0555149344564
5,28.0,Male,27.831312890533134,6.6522968214782825,0.0,None,1443.5428110531595
6,53.0,Female,20.383767506154424,8.045771930649895,0.24211234161155515,None,1508.4148681265337
7,34.0,Male,28.43298764748738,6.399044562332778,1.9256130047273756,Mixed,1809.3569336536268
8,44.0,Female,27.60899973509615,7.4331817420717865,0.0,None,1519.40817155814
9,22.0,Female,20.976593010669525,6.663803576392745,1.2436659444015927,None,1376.1462877459699
10,51.0,Female,19.71108253690756,7.578896307530215,0.0,None,1455.0004561220971
11,38.0,Male,27.37548564984999,8.437265816125675,2.0089965938766623,Cardio,2019.2807568863998
12,53.0,Male,24.876444478164476,8.67939701778375,0.8454468254205082,Mixed,1785.7935116441213
13,27.0,Female,24.28835017702351,9.45935155842782,0.0,None,1688.818657613017
14,45.0,Female,25.753789857684946,6.750850088559503,0.07830108695426752,None,1432.6229074327998
15,55.0,Male,25.496623392822855,8.62051646720182,0.7690789533982139,Cardio,1770.8336713280532
16,18.0,Female,33.54244976803927,6.21312109329014,1.9636382925435818,Mixed,1849.464265518123
17,33.0,Female,25.260380242609376,9.424721717417528,1.3690921425116258,Strength,1968.8944026701718
18,37.0,Male,25.54388514216424,8.477813669763703,1.8920472438607603,Strength,1981.6296671701648
19,18.0,Male,28.042112755751404,5.260360767084087,1.165574909266884,Mixed,1539.5721861192997
20,49.0,Female,18.841916950729217,10.177107600664415,0.0,None,1706.1299295737338
21,55.0,Male,27.013310611822856,6.059345328252933,0.0,None,1376.067638943522
22,33.0,Female,24.466215201476963,6.1671881040555485,1.5630361525785392,Cardio,1673.9881929360324
23,21.0,Female,27.514576669160572,8.970424189873523,0.9299778172641743,Strength,1858.1837491317929
24,63.0,Female,25.59135752303149,9.66407892517109,2.424930465584481,None,1722.3214677474239
25,50.0,Male,32.29891092426996,4.102943645839954,0.0,None,1233.2834738266952
26,51.0,Female,23.402777622028225,9.827546301118572,2.2347764095506397,Strength,2163.7376882422677
27,26.0,Male,30.619226621685154,9.16544361619404,0.0,None,1722.7366278362556
28,45.0,Female,23.32223627361064,9.018275581222062,0.0,None,1635.0499208583124
29,60.0,Male,29.349704413145055,5.550253404339497,0.8295523048826293,None,1348.5223845654002
30,48.0,Male,26.346394817133987,7.929901783736728,0.0,None,1556.4541265450127
31,59.0,Male,26.680953580485536,4.700695825783347,-0.3024671435057482,Mixed,1176.3856896820403
32,24.0,Male,22.97707513286089,3.3187687815059794,1.0381374731108248,None,1061.647629479207
33,34.0,Female,28.92145130558215,10.699611273940775,2.050076886101182,Strength,2269.1910176701354
34,32.0,Female,26.968308726798163,9.019144360306857,1.9089616364737334,Mixed,2053.389850593414
35,28.0,Female,21.188041010151693,9.140183438632484,0.9474184049488563,Strength,1815.3824349545364
36,37.0,Female,35.20806677275327,9.636022510797606,1.6812215496207872,Strength,2151.9272287314507
37,63.0,Male,22.42359614578021,5.612472125134808,1.228161757994883,Mixed,1531.1155255702595
38,29.0,Female,16.3540700822815,9.112086877683202,0.0,None,1574.7493885911354
39,56.0,Female,21.82965382982394,5.636029136745589,0.5576788681611804,Cardio,1393.4352256050342
40,61.0,Female,17.33404101156674,11.83619123769088,0.0,None,1856.9595338847553
41,46.0,Female,29.353955713525252,8.593193354776288,0.5194991921121502,Strength,1756.7587310353115
42,21.0,Male,30.05498835120617,11.634094407706637,1.0698557646326448,Mixed,2177.9304772092546
43,27.0,Female,17.87962217763026,6.2480484945506785,0.5371491220301954,Strength,1411.0308956374097
44,59.0,Male,14.278758598553095,9.171625459569643,0.0,None,1559.9501319424953
45,42.0,Female,22.120221965430748,9.653959220768341,0.0,None,1686.5981417311414
46,40.0,Male,22.851895415208112,6.550033985600596,1.364178933581341,Cardio,1656.3581394284088
47,29.0,Female,29.583299050265055,6.852823813902971,1.582248402444587,Strength,1797.5650523818651
48,21.0,Female,24.164571291524773,6.9454185287831445,0.8867799179621935,Strength,1613.5435493860007
49,41.0,Male,25.653341051240584,10.441463630510327,0.44033215456755315,Cardio,1888.7462044769493
50,19.0,Male,25.34806264752007,9.522476338376023,3.8816549469601895,None,1705.7282603128028
51,30.0,Female,28.710761936248634,6.348452908612804,0.0,None,1421.9529102237666
52,25.0,Male,26.389194531669084,6.861378295071068,0.7880264083387565,Cardio,1607.635056491549
53,47.0,Male,24.466074048835,10.58610919922549,2.428942195363332,Cardio,2289.0600994835654
54,24.0,Female,24.738337012500082,11.067754099728365,2.315822630421454,Strength,2317.323306182128
55,44.0,Female,23.438553203719213,6.652085149661012,0.19040465398832596,Cardio,1437.6749778009585
56,20.0,Male,27.35414929702177,7.354845942199489,0.0,None,1509.0260871901664
